time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,label
1.326339,-0.5934,0.0811,-0.8983,1.9376,0.9354,-1.0036,-75.2812,-5.8875,-36.825,
1.356315,-0.5851,0.1051,-0.93,1.9376,0.9354,-1.0036,-75.2812,-5.8875,-36.825,
1.358736,-0.5851,0.1051,-0.93,1.9376,0.9354,-1.0036,-76.8,-7.5563,-34.8,
1.360108,-0.5687,0.107,-0.9378,1.9376,0.9354,-1.0036,-76.8,-7.5563,-34.8,
1.361816,-0.5687,0.107,-0.9378,1.9376,0.9354,-1.0036,-76.8,-7.5563,-34.8,
1.379676,-0.5687,0.107,-0.9378,-0.5104,0.0145,0.4193,-76.8,-7.5563,-34.8,
1.392773,-0.4942,0.0882,-0.9369,-0.5104,0.0145,0.4193,-76.8,-7.5563,-34.8,
1.407277,-0.3794,0.0408,-0.8871,-0.5104,0.0145,0.4193,-76.8,-7.5563,-34.8,
1.414077,-0.3794,0.0408,-0.8871,-0.5104,0.0145,0.4193,-78.075,-9.3,-32.7375,
1.41688,-0.3401,-0.0474,-0.7673,-0.5104,0.0145,0.4193,-78.075,-9.3,-32.7375,
1.418406,-0.3401,-0.0474,-0.7673,-0.5104,0.0145,0.4193,-78.075,-9.3,-32.7375,
1.435691,-0.3401,-0.0474,-0.7673,-3.2957,-1.0823,1.5317,-78.075,-9.3,-32.7375,
1.460083,-0.3213,-0.1156,-0.5697,-3.2957,-1.0823,1.5317,-78.075,-9.3,-32.7375,
1.460976,-0.2211,-0.0985,-0.362,-3.2957,-1.0823,1.5317,-78.075,-9.3,-32.7375,
1.477134,-0.2211,-0.0985,-0.362,-3.2957,-1.0823,1.5317,-79.7812,-11.7188,-30.5813,
1.4789,-0.0337,-0.0345,-0.0828,-3.2957,-1.0823,1.5317,-79.7812,-11.7188,-30.5813,
1.480407,-0.0337,-0.0345,-0.0828,-3.2957,-1.0823,1.5317,-79.7812,-11.7188,-30.5813,
1.511558,0.3594,0.0796,0.6525,-3.2957,-1.0823,1.5317,-79.7812,-11.7188,-30.5813,
1.513293,0.3594,0.0796,0.6525,-5.6897,-2.8021,2.5275,-79.7812,-11.7188,-30.5813,
1.527442,0.868,0.1402,1.779,-5.6897,-2.8021,2.5275,-79.7812,-11.7188,-30.5813,
1.530533,0.868,0.1402,1.779,-5.6897,-2.8021,2.5275,-79.7812,-11.7188,-30.5813,
1.531571,1.5835,0.2326,3.2692,-5.6897,-2.8021,2.5275,-79.7812,-11.7188,-30.5813,
1.554795,1.5835,0.2326,3.2692,-5.6897,-2.8021,2.5275,-81.7688,-13.5938,-28.9688,
1.557776,2.2624,0.5023,4.3524,-5.6897,-2.8021,2.5275,-81.7688,-13.5938,-28.9688,
1.568979,2.2624,0.5023,4.3524,-4.5436,-4.0847,1.932,-81.7688,-13.5938,-28.9688,
1.587851,2.2536,0.7905,4.4513,-4.5436,-4.0847,1.932,-81.7688,-13.5938,-28.9688,
1.589664,1.8786,0.9417,3.9551,-4.5436,-4.0847,1.932,-81.7688,-13.5938,-28.9688,
1.592694,1.8786,0.9417,3.9551,-4.5436,-4.0847,1.932,-81.7688,-13.5938,-28.9688,
1.610739,1.4726,0.9007,3.1658,-4.5436,-4.0847,1.932,-81.7688,-13.5938,-28.9688,
1.61488,1.4726,0.9007,3.1658,-4.5436,-4.0847,1.932,-83.6438,-14.6063,-26.8125,
1.645886,1.1499,0.6596,2.388,-4.5436,-4.0847,1.932,-83.6438,-14.6063,-26.8125,
1.646756,0.8966,0.3838,1.8413,-4.5436,-4.0847,1.932,-83.6438,-14.6063,-26.8125,
1.647362,0.8966,0.3838,1.8413,1.7082,0.6089,-1.0783,-83.6438,-14.6063,-26.8125,
1.648157,0.8966,0.3838,1.8413,1.7082,0.6089,-1.0783,-83.6438,-14.6063,-26.8125,
1.66879,0.697,0.1644,1.3253,1.7082,0.6089,-1.0783,-83.6438,-14.6063,-26.8125,
1.677418,0.697,0.1644,1.3253,1.7082,0.6089,-1.0783,-85.2,-15.1688,-24.675,
1.705621,0.5391,0.0283,0.8949,1.7082,0.6089,-1.0783,-85.2,-15.1688,-24.675,
1.706739,0.352,-0.0694,0.5519,1.7082,0.6089,-1.0783,-85.2,-15.1688,-24.675,
1.707482,0.352,-0.0694,0.5519,1.7082,0.6089,-1.0783,-85.2,-15.1688,-24.675,
1.707897,0.352,-0.0694,0.5519,4.3034,1.8759,-2.7291,-85.2,-15.1688,-24.675,
1.729518,0.1063,-0.1361,0.2248,4.3034,1.8759,-2.7291,-85.2,-15.1688,-24.675,
1.75537,-0.1691,-0.1503,-0.1219,4.3034,1.8759,-2.7291,-85.2,-15.1688,-24.675,
1.757866,-0.1691,-0.1503,-0.1219,4.3034,1.8759,-2.7291,-86.3813,-15.15,-22.7438,
